Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Zack Schilawski,NE ,F,1199,1,1,24,0.08,0.08,7,1,0,2011,reg
Jorge Villafaña,POR,F,1793,1,1,29,0.05,0.05,1,2,1,2011,reg
Lovel Palmer,HOU,D,2782,1,1,58,0.03,0.03,2,6,1,2011,reg
Kevin Goldthwaite,POR,D,190,1,0,1,0.47,0.0,0,0,0,2011,reg
Ilija Stolica,NE ,F,73,1,0,1,1.23,0.0,4,1,0,2011,reg
Rich Balchan,CLB,D,1615,1,0,1,0.06,0.0,0,1,0,2011,reg
Jack McBean,LA ,F,90,1,0,1,1.0,0.0,3,0,0,2011,reg
Soony Saad,KC ,F,39,1,0,2,2.31,0.0,0,0,0,2011,reg
Bobby Warshaw,DAL,D,461,1,0,2,0.2,0.0,0,2,0,2011,reg
Alex Dixon,ROC,M,84,1,0,2,1.07,0.0,0,0,0,2011,reg
Leonardo,LA ,D,630,1,0,2,0.14,0.0,0,1,0,2011,reg
Luke Sassano,KC ,D,531,1,0,2,0.17,0.0,0,1,0,2011,reg
Jimmy Conrad,CHV,D,180,1,0,3,0.5,0.0,0,1,0,2011,reg
Bright Dike,POR,F,164,1,0,3,0.55,0.0,0,2,0,2011,reg
Patrick Ianni,SEA,D-M,1232,1,0,5,0.07,0.0,0,2,0,2011,reg
Ethan White,DC ,D,1928,1,0,6,0.05,0.0,2,3,0,2011,reg
Dan Gargan,CHI,D,1848,1,0,7,0.05,0.0,2,7,0,2011,reg
Ellis McLoughlin,SJ ,F,167,1,0,7,0.54,0.0,0,0,0,2011,reg
Koke,HOU,F,233,1,0,7,0.39,0.0,2,0,0,2011,reg
Andrew Boyens,CHV,D,909,1,0,7,0.1,0.0,0,1,1,2011,reg
Edward Johnson,POR,F,265,1,0,7,0.34,0.0,4,1,0,2011,reg
Daniel Woolard,DC ,D,2254,1,0,8,0.04,0.0,0,0,0,2011,reg
Julius James,CLB,D,2790,1,0,8,0.03,0.0,0,7,0,2011,reg
Calen Carr,HOU,F,380,1,0,9,0.24,0.0,2,0,0,2011,reg
Danny Califf,PHI,D,2970,1,0,9,0.03,0.0,0,4,0,2011,reg
Ryan Smith,CHV,M,294,1,0,9,0.31,0.0,0,1,0,2011,reg
Andre Hainault,HOU,D,2790,1,0,9,0.03,0.0,1,1,0,2011,reg
Perry Kitchen,LA,M,2726,1,0,10,0.03,0.0,0,4,0,2011,reg
Jeff Parke,SEA,D,2387,1,0,10,0.04,0.0,0,2,0,2011,reg
Victor Estupinan,CHV,F,320,1,0,11,0.28,0.0,2,1,0,2011,reg
Laurent Courtois ,CHV,M,454,1,0,12,0.2,0.0,2,0,0,2011,reg
Brian Carroll,PHI,M,2571,1,0,15,0.04,0.0,0,5,0,2011,reg
Tony Tchani,CLB,M,1144,1,0,15,0.08,0.0,0,3,1,2011,reg
Andre Akpan,COL,F,479,1,0,15,0.19,0.0,2,0,0,2011,reg
Jack McInerney,PHI,F,558,1,0,16,0.16,0.0,5,1,1,2011,reg
A.J. Soares,NE ,D,2464,1,0,17,0.04,0.0,0,2,2,2011,reg
Stephen King,DC ,M,1068,1,0,18,0.08,0.0,0,0,0,2011,reg
Sainey Nyassi,NE ,M,959,1,0,21,0.09,0.0,2,1,0,2011,reg
Chris Birchall,LA ,M,1551,1,0,26,0.06,0.0,1,3,1,2011,reg
Gershon Koffie,VAN,M,2467,1,0,34,0.04,0.0,0,3,1,2011,reg
Steven Beitashour,SJ ,D,1654,0,7,4,0.0,0.38,1,3,1,2011,reg
Ante Jazic,CHV,D,2468,0,7,6,0.0,0.26,2,3,0,2011,reg
Jan Gunnar Solli,NY ,D,2643,0,7,15,0.0,0.24,2,1,1,2011,reg
Dax McCarty,NSH,M,2121,0,6,18,0.0,0.25,5,2,0,2011,reg
Kalif Alhassan,POR,M,2337,0,6,58,0.0,0.23,3,3,1,2011,reg
Jordan Harvey,LAFC,D,2498,0,5,9,0.0,0.18,0,7,1,2011,reg
Rafa Márquez,NY ,M,1684,0,5,16,0.0,0.27,0,6,0,2011,reg
Collen Warner,COL,M,1106,0,5,16,0.0,0.41,4,3,1,2011,reg
Gonzalo Segares,CHI,D,2950,0,5,17,0.0,0.15,2,8,0,2011,reg
Todd Dunivant,LA ,D,2880,0,4,12,0.0,0.13,4,2,0,2011,reg
Danleigh Borman,NY ,D,1697,0,3,3,0.0,0.16,1,4,0,2011,reg
Sebastián Miranda,CLB,D,3044,0,3,8,0.0,0.09,2,5,0,2011,reg
Jeremy Hall,DAL,D-M,1715,0,3,9,0.0,0.16,2,6,1,2011,reg
Heath Pearce,CHV,D,2581,0,3,10,0.0,0.1,0,2,0,2011,reg
Pat Phelan,NE ,M-D,1426,0,3,12,0.0,0.19,3,4,1,2011,reg
Blair Gavin,CHV,M,958,0,3,12,0.0,0.28,3,0,0,2011,reg
Jair Benítez,DAL,D,2231,0,3,15,0.0,0.12,1,2,0,2011,reg
Jacob Peterson,SJ ,F,1460,0,3,17,0.0,0.18,0,2,0,2011,reg
Roy Miller,NY ,D,2699,0,3,18,0.0,0.1,2,5,0,2011,reg
Sal Zizzo,POR,D,1515,0,3,22,0.0,0.18,3,0,0,2011,reg
Bryan Jordan,LA ,D,581,0,2,0,0.0,0.31,1,1,0,2011,reg
Marvell Wynne,COL,D,2530,0,2,0,0.0,0.07,0,2,0,2011,reg
Chris Korb,DC ,D,1020,0,2,0,0.0,0.18,0,0,0,2011,reg
Ashtone Morgan,RSL,D,903,0,2,2,0.0,0.2,0,1,0,2011,reg
Luiz Camargo,HOU,M,515,0,2,3,0.0,0.35,3,0,0,2011,reg
Stephen Keel,NY ,D,1226,0,2,3,0.0,0.15,0,3,0,2011,reg
Anthony Ampaipitakwong,SJ ,M,546,0,2,4,0.0,0.33,0,0,0,2011,reg
Francisco Mendoza,CHV,M,281,0,2,5,0.0,0.64,0,0,0,2011,reg
Bruno Guarda,DAL,M,500,0,2,6,0.0,0.36,0,2,0,2011,reg
James Riley,SEA,D,2579,0,2,7,0.0,0.07,0,3,0,2011,reg
Robbie Russell,RSL,D,1809,0,2,8,0.0,0.1,0,4,0,2011,reg
Justin Meram,RSL,M,515,0,2,9,0.0,0.35,5,2,0,2011,reg
Baggio Husidic,CHI,M,794,0,2,12,0.0,0.23,1,2,0,2011,reg
Dejan Rusmir,CLB,M,1016,0,2,14,0.0,0.18,0,4,0,2011,reg
Nate Jaqua,SEA,F,843,0,2,16,0.0,0.21,9,2,0,2011,reg
Simon Elliott,CHV,M,1824,0,2,17,0.0,0.1,0,3,0,2011,reg
Milos Stojcev,KC ,M,790,0,2,18,0.0,0.23,3,1,1,2011,reg
Sam Cronin,SJ ,M,1903,0,2,21,0.0,0.09,0,6,1,2011,reg
Ricardo Villar,DAL,M,1317,0,2,23,0.0,0.14,2,2,0,2011,reg
Davy Arnaud,KC ,M,1536,0,2,24,0.0,0.12,0,2,0,2011,reg
Teemu Tainio,NY ,M,2407,0,2,27,0.0,0.07,0,7,1,2011,reg
Abdoulie Mansally,NE ,D,1140,0,2,29,0.0,0.16,10,3,1,2011,reg
Gerson Mayen,SLV,M,106,0,1,0,0.0,0.85,0,0,0,2011,reg
Jack Stewart,DAL,D,109,0,1,0,0.0,0.83,0,0,0,2011,reg
Jed Zayner,DC ,D,311,0,1,0,0.0,0.29,0,0,0,2011,reg
Chris Leitch,SJ ,D,1115,0,1,1,0.0,0.08,1,3,0,2011,reg
Didier Domi,NE ,D,680,0,1,3,0.0,0.13,0,1,0,2011,reg
Michael Videira,CHI,M,493,0,1,3,0.0,0.18,0,2,0,2011,reg
Anthony Wallace,COL,D,719,0,1,4,0.0,0.13,0,3,0,2011,reg
Leonardo González,SEA,D,1069,0,1,4,0.0,0.08,1,5,0,2011,reg
Wes Knight,VAN,D,805,0,1,5,0.0,0.11,2,0,0,2011,reg
Tony Beltran,RSL,D,1731,0,1,5,0.0,0.05,1,1,1,2011,reg
Gregg Berhalter,LA ,D,748,0,1,5,0.0,0.12,0,3,0,2011,reg
Jermaine Taylor,HOU,D,925,0,1,5,0.0,0.1,0,2,0,2011,reg
Gianluca Zavarise,TOR,M,569,0,1,6,0.0,0.16,3,1,1,2011,reg
Tim Ream,NY ,D,2520,0,1,6,0.0,0.04,0,2,0,2011,reg
Brian Umony,POR,F,131,0,1,6,0.0,0.69,4,1,0,2011,reg
Michael Stephens,LA ,M,1109,0,1,7,0.0,0.08,0,3,0,2011,reg
Tyrone Marshall,COL,D,2177,0,1,7,0.0,0.04,0,4,0,2011,reg
Paulo Nagamura,CHV,M,544,0,1,8,0.0,0.17,0,2,0,2011,reg
Chris Wingert,RSL,D,1915,0,1,9,0.0,0.05,0,5,0,2011,reg
Torsten Frings,TOR,M,1124,0,1,9,0.0,0.08,1,0,0,2011,reg
Fred,DC ,M,596,0,1,10,0.0,0.15,1,3,0,2011,reg
Jhon Kennedy Hurtado,SEA,D,1945,0,1,10,0.0,0.05,1,4,2,2011,reg
Corben Bone,CHI,M,534,0,1,10,0.0,0.17,0,0,0,2011,reg
Birahim Diop,KC ,M,761,0,1,10,0.0,0.12,0,3,0,2011,reg
Matt Stinson,TOR,M,675,0,1,10,0.0,0.13,1,1,0,2011,reg
Jeb Brovsky,VAN,D,1509,0,1,11,0.0,0.06,0,4,0,2011,reg
Brad Ring,SJ ,D,1600,0,1,11,0.0,0.06,0,7,0,2011,reg
Bobby Burling,SJ ,D,2041,0,1,11,0.0,0.04,0,4,2,2011,reg
Kevin Burns,CLB,M,1243,0,1,11,0.0,0.07,2,4,0,2011,reg
Kevin Alston,NE ,D,2954,0,1,13,0.0,0.03,0,1,0,2011,reg
Chad Marshall,CLB,D,2835,0,1,15,0.0,0.03,1,2,0,2011,reg
Jéferson,KC ,M,571,0,1,17,0.0,0.16,1,1,0,2011,reg
Arturo Alvarez,RSL,M,724,0,1,18,0.0,0.12,3,0,0,2011,reg
Chance Myers,KC ,D,2209,0,1,21,0.0,0.04,1,1,0,2011,reg
Mikael Yourassowsky,TOR,D,1302,0,1,21,0.0,0.07,6,4,1,2011,reg
Daniel Paladini,CHI,M,1491,0,1,37,0.0,0.06,1,7,0,2011,reg
Alexandre Morfaw,VAN,M,135,0,0,0,0.0,0.0,0,0,0,2011,reg
Eddy Viator,TOR,D,186,0,0,0,0.0,0.0,0,2,0,2011,reg
Miguel Comminges,COL,D,322,0,0,0,0.0,0.0,0,1,1,2011,reg
Marko Maric,CHI,M,19,0,0,0,0.0,0.0,0,0,0,2011,reg
Taylor Graham,SEA,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Shavar Thomas,KC ,D,35,0,0,0,0.0,0.0,0,1,0,2011,reg
Rodrigo López,POR,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Jason Hernandez,SJ ,D,2491,0,0,0,0.0,0.0,0,4,0,2011,reg
Rauwshan McKenzie,RSL,D,180,0,0,0,0.0,0.0,0,0,0,2011,reg
Joe Tait,PHI,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Kyle Davies,DAL,D,21,0,0,0,0.0,0.0,0,0,0,2011,reg
Brian Nielsen,NY ,M,4,0,0,0,0.0,0.0,0,0,0,2011,reg
Michael Holody,COL,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Mike Banner,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Danny O'Rourke,CLB,D,471,0,0,0,0.0,0.0,0,1,0,2011,reg
Devon McTavish,DC ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Kurt Morsink,DC ,M,157,0,0,0,0.0,0.0,0,1,0,2011,reg
Ousmane Dabo,NE ,M,148,0,0,0,0.0,0.0,0,0,0,2011,reg
Elbekay Bouchiba,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Carl Robinson,NY ,M,54,0,0,0,0.0,0.0,0,0,0,2011,reg
Nick Kounenakis ,KC ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Nery Castillo,CHI,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Eddie Robinson,HOU,D,146,0,0,0,0.0,0.0,0,0,0,2011,reg
André Luiz,SJ ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Blaise Nkufo,SEA,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Bratislav Ristic,CHI,M,413,0,0,0,0.0,0.0,0,1,0,2011,reg
Peterson Joseph,KC ,M,8,0,0,0,0.0,0.0,0,0,0,2011,reg
Chukwudi Chijindu,CHV,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Amadou Sanyang,SEA,D,8,0,0,0,0.0,0.0,0,0,0,2011,reg
Daneil Cyrus,KC ,D,108,0,0,0,0.0,0.0,0,1,0,2011,reg
Francisco Navas Cobo,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Edson Edward,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Kwame Watson-Siriboe,CHI,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Korede Aiyegbusi,KC ,D,94,0,0,0,0.0,0.0,0,0,0,2011,reg
Mike Seamon,SEA,M-F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Steven Kinney,CHI,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Miguel Montaño,SEA,F,31,0,0,0,0.0,0.0,1,0,0,2011,reg
Omar Jasseh,SJ ,M,13,0,0,0,0.0,0.0,0,0,0,2011,reg
Jordan Graye,HOU,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Bryan Leyva,DAL,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Juan Diego González,PHI,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Nicholas Lindsay,TOR,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Junior Carreiro,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Bryan de la Fuente,CHV,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Philippe Davies,VAN,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Andy Adlard,CLB,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Ben Sippola,CLB,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Korey Veeder,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Josh Williams,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Michael Tetteh,SEA,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Steven Emory,COL,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Conor Shanosky,DC ,M-D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Cole Grossman,CLB,M,12,0,0,0,0.0,0.0,0,0,0,2011,reg
Marcos Paullo,NY ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Davy Armstrong,COL,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Victor Pineda,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Hector Jimenez,CLB,M,115,0,0,0,0.0,0.0,1,0,0,2011,reg
Dustin McCarty,LA ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Ryan Thomas,LA ,D,13,0,0,0,0.0,0.0,0,0,0,2011,reg
Mike Jones,KC ,D,1,0,0,0,0.0,0.0,0,0,0,2011,reg
Josue Soto,HOU,D-M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Ryan Richter,PHI,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Chris Taylor,POR,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Freddie Braun ,POR,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Sean Alvarado,LA ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Demitrius Omphroy,TOR,D,1,0,0,0,0.0,0.0,0,0,0,2011,reg
Davis Paul,CHI,F,45,0,0,0,0.0,0.0,0,0,0,2011,reg
Spencer Thompson,POR,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Levi Houapeu,PHI,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Rodrigo Brasesco,DC ,D,155,0,0,0,0.0,0.0,0,0,0,2011,reg
Scott Lorenz,KC ,D,84,0,0,0,0.0,0.0,0,0,0,2011,reg
Konrad Warzycha,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Kevin Ellis,KC ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Alan Koger,NE ,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Michael Augustine,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Andrew Sousa,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Ryan Kinne,NE ,M,1,0,0,0,0.0,0.0,0,0,0,2011,reg
Chris Agorsor,PHI,F,10,0,0,0,0.0,0.0,0,0,0,2011,reg
Sacir Hot,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Moises Hernandez,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Victor Ulloa,MIA,M,9,0,0,0,0.0,0.0,0,0,0,2011,reg
Jonathan Top,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Maxwell Griffin,SJ ,F,46,0,0,0,0.0,0.0,3,0,0,2011,reg
Lawrence Olum,KC ,D,13,0,0,0,0.0,0.0,0,0,0,2011,reg
Carlyle Mitchell,VAN,D,241,0,0,0,0.0,0.0,0,0,0,2011,reg
Morgan Langley,PHI,M,10,0,0,0,0.0,0.0,0,0,0,2011,reg
Yordany Álvarez,RSL,M,419,0,0,0,0.0,0.0,0,4,0,2011,reg
Nico Muñiz,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Eddie Ababio,COL,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Santiago Prim,CLB,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Aaron Horton,CLB,F,1,0,0,0,0.0,0.0,0,0,0,2011,reg
Tyler Lassiter,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Seth Owusu,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Matt Gold,TOR,D,45,0,0,0,0.0,0.0,0,0,0,2011,reg
Pari Pantazopoulos,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Otto Loewy,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Josh Janniere,COL,M,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Donny Toia,RSL,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Teddy Schneider,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2011,reg
Bilal Duckett,VAN,D,226,0,0,1,0.0,0.0,0,1,0,2011,reg
Corey Hertzog,NY ,F,35,0,0,1,0.0,0.0,0,0,0,2011,reg
Matt Kassel,NY ,D-M,82,0,0,1,0.0,0.0,0,0,0,2011,reg
Mouloud Akloul,VAN,D,625,0,0,1,0.0,0.0,1,2,0,2011,reg
Cody Arnoux,RSL,F,69,0,0,1,0.0,0.0,0,0,0,2011,reg
Matt Luzunaris,SJ ,F,63,0,0,1,0.0,0.0,1,0,0,2011,reg
Edmundo Zura,SJ ,F,19,0,0,1,0.0,0.0,0,0,0,2011,reg
Danny Earls,COL,D,224,0,0,1,0.0,0.0,0,0,0,2011,reg
Chris Albright,NY ,D,482,0,0,1,0.0,0.0,1,0,0,2011,reg
Leandre Griffit,CLB,M,2,0,0,1,0.0,0.0,0,0,0,2011,reg
Tim Ward,SJ ,D,226,0,0,1,0.0,0.0,0,0,0,2011,reg
Gabriel Ferrari,CHI,F,17,0,0,1,0.0,0.0,0,0,0,2011,reg
Greg Janicki,VAN,D,752,0,0,1,0.0,0.0,1,1,0,2011,reg
John Rooney,NY ,M,48,0,0,1,0.0,0.0,0,0,0,2011,reg
Peter Lowry,POR,M,146,0,0,1,0.0,0.0,0,1,0,2011,reg
Kevin Harmse,VAN,M,126,0,0,1,0.0,0.0,0,0,0,2011,reg
Steve Purdy,POR,D,720,0,0,2,0.0,0.0,0,2,0,2011,reg
Brandon Barklage,DC ,D,38,0,0,2,0.0,0.0,0,0,0,2011,reg
Maykel Galindo,DAL,F,147,0,0,2,0.0,0.0,2,0,0,2011,reg
Michael Harrington,KC ,D,1495,0,0,2,0.0,0.0,0,5,0,2011,reg
Carlos Mendes,NY ,D,1505,0,0,2,0.0,0.0,0,3,0,2011,reg
Craig Rocastle,KC ,M,306,0,0,2,0.0,0.0,0,0,0,2011,reg
Peter Vagenas,VAN,M,1042,0,0,2,0.0,0.0,0,0,0,2011,reg
Frankie Hejduk,LA ,D,472,0,0,2,0.0,0.0,0,5,0,2011,reg
Ross LaBauex,COL,M,313,0,0,2,0.0,0.0,2,3,0,2011,reg
Tristan Bowen,CHV,F,60,0,0,2,0.0,0.0,0,0,0,2011,reg
Darrius Barnes,NE ,D,2153,0,0,2,0.0,0.0,1,1,0,2011,reg
Dejan Jakovic,LAFC,D,1324,0,0,2,0.0,0.0,0,3,1,2011,reg
Andrew Wiedeman,DAL,F,59,0,0,2,0.0,0.0,1,0,0,2011,reg
Justin Morrow,TOR,D,810,0,0,2,0.0,0.0,1,1,0,2011,reg
Russell Teibert,VAN,M,503,0,0,2,0.0,0.0,0,0,0,2011,reg
Doneil Henry,TOR,D,503,0,0,2,0.0,0.0,1,1,0,2011,reg
Joseph Nane,COL,M,308,0,0,2,0.0,0.0,0,0,0,2011,reg
Michael Nanchoff,VAN,M,137,0,0,2,0.0,0.0,0,0,0,2011,reg
Kofi Sarkodie,HOU,D,582,0,0,2,0.0,0.0,0,2,1,2011,reg
Michael Boxall,MIN,D,1616,0,0,2,0.0,0.0,0,3,0,2011,reg
Keith Makubuya,TOR,F,45,0,0,2,0.0,0.0,0,0,0,2011,reg
Artur Aghasyan,RSL,F,98,0,0,3,0.0,0.0,1,0,0,2011,reg
Oscar Cordon,TOR,M,144,0,0,3,0.0,0.0,0,1,0,2011,reg
Zach Pfeffer,PHI,M,136,0,0,3,0.0,0.0,0,0,0,2011,reg
Eric Gehrig,CLB,D,474,0,0,3,0.0,0.0,0,1,0,2011,reg
Dan Keat,LA ,M,117,0,0,3,0.0,0.0,0,0,0,2011,reg
Shaun Francis,CLB,D,428,0,0,3,0.0,0.0,0,1,0,2011,reg
David Estrada,SEA,M-F,108,0,0,3,0.0,0.0,1,0,0,2011,reg
Ike Opara,MIN,D,485,0,0,3,0.0,0.0,3,1,0,2011,reg
Dasan Robinson,CHI,D,338,0,0,3,0.0,0.0,1,1,0,2011,reg
Scott Sealy,SJ ,F,419,0,0,3,0.0,0.0,5,0,0,2011,reg
A.J. DeLaGarza,MIA,D,2627,0,0,3,0.0,0.0,1,3,0,2011,reg
Zach Scott,SEA,D,864,0,0,3,0.0,0.0,0,3,0,2011,reg
Adrian Cann,TOR,D,988,0,0,3,0.0,0.0,0,0,0,2011,reg
Kheli Dube,NE ,F,114,0,0,3,0.0,0.0,2,0,0,2011,reg
Nathan Sturgis,TOR,M,953,0,0,3,0.0,0.0,0,1,0,2011,reg
Jonathan Leathers,VAN,D,1840,0,0,4,0.0,0.0,0,3,0,2011,reg
David Júnior Lopes,CHV,D,580,0,0,4,0.0,0.0,0,2,1,2011,reg
Jay DeMerit,VAN,D,1671,0,0,4,0.0,0.0,1,4,0,2011,reg
Jason Garey,HOU,F,164,0,0,4,0.0,0.0,2,0,0,2011,reg
Ryan Pore,POR,M,200,0,0,4,0.0,0.0,2,0,0,2011,reg
Jovan Kirovski,LA ,M-F,244,0,0,4,0.0,0.0,0,1,1,2011,reg
Josip Mikulic,CHI,D,1038,0,0,4,0.0,0.0,0,5,1,2011,reg
Franco Coria,NE ,D,1250,0,0,4,0.0,0.0,0,5,0,2011,reg
Zarek Valentin,HOU,D,2114,0,0,4,0.0,0.0,1,5,0,2011,reg
Dicoy Williams,TOR,D,655,0,0,4,0.0,0.0,0,1,0,2011,reg
Chris Cortez,CHV,F,207,0,0,5,0.0,0.0,2,1,0,2011,reg
John Thorrington,VAN,M,740,0,0,5,0.0,0.0,1,1,0,2011,reg
Macoumba Kandji,COL,F,123,0,0,5,0.0,0.0,2,0,0,2011,reg
Nana Attakora,SJ ,D,756,0,0,5,0.0,0.0,0,2,0,2011,reg
Ty Harden,TOR,D,2120,0,0,6,0.0,0.0,0,3,1,2011,reg
Blake Wagner,RSL,D-M,841,0,0,6,0.0,0.0,0,0,0,2011,reg
Andy Iro,CLB,D,1323,0,0,6,0.0,0.0,1,4,1,2011,reg
Richard Eckersley,TOR,D,1953,0,0,6,0.0,0.0,0,6,0,2011,reg
Stéphane Auvray,KC ,M,449,0,0,6,0.0,0.0,0,0,0,2011,reg
Logan Pause,CHI,M,2514,0,0,6,0.0,0.0,0,3,0,2011,reg
Pat Noonan,SEA,F,259,0,0,6,0.0,0.0,3,0,0,2011,reg
Seth Sinovic,NE,D,1737,0,0,6,0.0,0.0,1,2,0,2011,reg
Yamith Cuesta,CHI,D,1681,0,0,7,0.0,0.0,3,3,1,2011,reg
Servando Carrasco,SEA,M,689,0,0,7,0.0,0.0,0,5,0,2011,reg
James Marcelin,POR,M,1142,0,0,8,0.0,0.0,1,4,0,2011,reg
Branko Boskovic,DC ,M,124,0,0,8,0.0,0.0,0,0,0,2011,reg
Stefani Miglioranzi,PHI,M,980,0,0,8,0.0,0.0,0,1,0,2011,reg
David Horst,POR,D,1170,0,0,8,0.0,0.0,3,0,0,2011,reg
Corey Ashe,HOU,M,2617,0,0,9,0.0,0.0,2,2,0,2011,reg
Clyde Simms,DC ,M,2404,0,0,10,0.0,0.0,0,2,0,2011,reg
Joseph Ngwenya,DC ,F,629,0,0,11,0.0,0.0,7,1,0,2011,reg
Alen Stevanovic,TOR,M,773,0,0,11,0.0,0.0,2,1,0,2011,reg
Amobi Okugo,PHI,D-M,811,0,0,12,0.0,0.0,0,2,0,2011,reg
Mustapha Jarju,VAN,F,450,0,0,14,0.0,0.0,4,0,0,2011,reg
Ned Grabavoy,RSL,M,1899,0,0,17,0.0,0.0,3,3,0,2011,reg
Eric Alexander,DAL,M,1467,0,0,19,0.0,0.0,2,0,0,2011,reg
Paolo Cardozo,LA ,M,821,0,0,26,0.0,0.0,4,1,0,2011,reg
Chris Wondolowski,SJ,F,2813,27,7,127,0.86,0.22,28,3,0,2012,reg
Kenny Cooper,NY ,F,2505,18,3,84,0.65,0.11,20,3,0,2012,reg
Alvaro Saborio,RSL,F,2390,17,3,87,0.64,0.11,37,5,0,2012,reg
Robbie Keane,LA ,F,2519,16,9,94,0.57,0.32,27,0,0,2012,reg
Thierry Henry,NY ,F,2108,15,12,88,0.64,0.51,24,5,0,2012,reg
Eddie Johnson,SEA,F,2119,14,3,72,0.59,0.13,35,6,0,2012,reg
Fredy Montero,VAN,F,2576,13,8,126,0.45,0.28,24,5,1,2012,reg
Alan Gordon,SJ ,F,1297,13,7,43,0.9,0.49,15,7,1,2012,reg
Chris Pontius,DC ,M,2339,12,4,71,0.46,0.15,5,3,0,2012,reg
Will Bruin,SEA,F,2510,12,4,78,0.43,0.14,12,1,0,2012,reg
Kei Kamara,COL,F,2871,11,8,134,0.34,0.25,12,3,0,2012,reg
Saer Sene,NE ,M,1934,11,3,75,0.51,0.14,15,0,0,2012,reg
Steven Lenhart,SJ ,F,1623,10,2,64,0.55,0.11,27,7,1,2012,reg
Landon Donovan,LA ,M-F,2256,9,14,65,0.36,0.56,5,6,0,2012,reg
Patrice Bernier,MTL,M,2194,9,8,32,0.37,0.33,0,5,0,2012,reg
Fabian Espindola,RSL,F,2293,9,7,69,0.35,0.27,21,7,1,2012,reg
Jairo Arrieta,CLB,F,1534,9,4,41,0.53,0.23,41,1,0,2012,reg
Blas Pérez,DAL,F,1705,9,4,53,0.48,0.21,18,3,1,2012,reg
